noCompte,Date,Operation
5000994582,20/06/2021,176.99
5000994582,08/06/2021,136.53
5000994582,16/06/2021,55.4
5000994582,17/07/2021,164.67
5000994582,10/07/2021,36.75
5000994582,17/07/2021,180.67
5000994582,16/06/2021,90.52
5000994582,31/07/2021,176.85
5000994582,04/07/2021,67.16
5000994582,18/06/2021,37.25
5000994582,19/07/2021,172.96
5000994582,23/07/2021,135.72
5000994582,23/07/2021,180.85
5000994582,17/06/2021,84.55
5000994582,01/06/2021,102.73
5000994582,23/06/2021,96.49
5000994582,03/07/2021,44.47
5000994582,09/06/2021,138.02
5000994582,08/06/2021,101.12
5000994582,03/07/2021,64.91
5000990506,01/06/2021,167.11
5000990506,29/06/2021,100.99
5000990506,19/06/2021,129.78
5000990506,28/07/2021,215.89
5000990506,06/07/2021,184.78
5000990506,02/07/2021,46.57
5000990506,05/07/2021,31.79
5000990506,29/07/2021,170.4
5000990506,25/07/2021,207.04
5000990506,14/07/2021,88.5
5000990506,31/07/2021,65.07
5000990506,04/06/2021,79.38
5000990506,03/06/2021,44.28
5000990506,30/07/2021,47.82
5000990506,20/07/2021,133.89
5000990506,08/07/2021,194.72
5000990506,02/07/2021,73.42
5000990506,10/07/2021,92.13
5000990506,15/06/2021,138.5
5000990506,09/06/2021,128.58
5000989950,12/06/2021,49.68
5000989950,31/07/2021,169.76
5000989950,05/06/2021,51.87
5000989950,29/07/2021,211.01
5000989950,06/06/2021,53.23
5000989950,29/07/2021,212.68
5000989950,28/06/2021,175.41
5000989950,09/06/2021,224.61
5000989950,18/07/2021,189.34
5000989950,01/06/2021,90.49
5000989950,03/06/2021,182.25
5000989950,07/07/2021,72.2
5000989950,04/06/2021,224.09
5000989950,01/06/2021,146.69
5000989950,15/06/2021,136.29
5000989950,11/06/2021,37.85
5000989950,05/07/2021,99.67
5000988455,03/07/2021,204.07
5000988455,16/06/2021,243.91
5000988455,03/07/2021,199.16
5000988455,25/07/2021,83.04
5000988455,16/07/2021,195.94
5000988455,29/06/2021,72.39
5000988455,03/07/2021,156.09
5000988455,03/07/2021,145.91
5000988455,30/06/2021,228.4
5000988455,20/06/2021,174
5000988455,14/07/2021,85.28
5000988455,19/06/2021,87.4
5000988455,13/06/2021,54.8
5000988455,04/07/2021,235.76
5000986022,06/06/2021,43
5000986022,03/07/2021,43.28
5000986022,20/07/2021,147.09
5000986022,14/07/2021,81.29
5000986022,16/07/2021,109.81
5000986022,03/07/2021,135.99
5000986022,28/06/2021,52.49
5000986022,14/06/2021,202.6
5000986022,27/06/2021,15.54
5000986022,22/07/2021,95.75
5000986022,28/06/2021,12.11
5000986022,05/06/2021,140.55
5000986022,04/06/2021,108.48
5000986022,20/07/2021,37.6
5000986022,21/06/2021,172.2
5000986022,15/06/2021,148.21
5000986022,23/06/2021,157.81
5000985705,13/07/2021,154.93
5000985705,03/06/2021,54.93
5000985705,12/06/2021,195.78
5000985705,02/06/2021,127.74
5000985705,30/06/2021,196.38
5000985705,28/06/2021,33.27
5000985705,07/06/2021,38.41
5000985705,18/07/2021,109.61
5000985705,10/06/2021,118.83
5000985705,16/06/2021,122.91
5000985705,10/06/2021,20.98
5000985705,21/06/2021,193.16
5000985705,24/06/2021,64.83
5000985705,05/07/2021,95.28
5000985705,02/06/2021,33.01
5000985705,06/07/2021,53.75
5000985705,19/06/2021,125.45
5000978297,02/06/2021,149.81
5000978297,14/06/2021,93.83
5000978297,11/06/2021,187.32
5000978297,03/07/2021,125.2
5000978297,16/07/2021,215.79
5000978297,24/06/2021,56.76
5000978297,10/06/2021,125.54
5000978297,30/07/2021,48.11
5000978297,03/07/2021,138.35
5000978297,06/07/2021,101.46
5000978297,13/07/2021,157.26
5000978297,29/06/2021,219.64
5000978297,26/07/2021,235.41
5000978297,07/06/2021,119.21
5000978297,29/07/2021,63.49
5000978297,03/06/2021,108.28
5000978297,20/07/2021,54.02
5000978297,04/06/2021,118.07
5000978297,01/06/2021,174.56
5000978297,25/07/2021,55.34
5000978297,23/06/2021,113.39
5000976335,19/06/2021,196.09
5000976335,25/06/2021,170.04
5000976335,31/07/2021,31.17
5000976335,30/06/2021,37.13
5000976335,08/06/2021,72.41
5000976335,27/06/2021,121.38
5000976335,14/07/2021,100.29
5000976335,19/07/2021,55.61
5000976335,31/07/2021,38.79
5000976335,05/06/2021,173.65
5000976335,25/06/2021,153.5
5000976335,02/07/2021,34.64
5000976335,02/06/2021,64.27
5000976335,15/06/2021,139.88
5000976335,30/07/2021,63.92
5000976335,05/07/2021,176.59
5000976335,04/06/2021,197.2
5000974551,08/07/2021,162.96
5000974551,18/06/2021,166.99
5000974551,13/06/2021,45.91
5000974551,06/07/2021,65.2
5000974551,04/07/2021,107.86
5000974551,14/07/2021,221.14
5000974551,07/07/2021,45.79
5000974551,05/06/2021,182.56
5000974551,06/07/2021,127.65
5000974551,01/07/2021,83.19
5000974551,01/06/2021,54.35
5000974551,27/06/2021,38.18
5000974551,14/07/2021,31.59
5000974551,02/07/2021,105.02
5000974551,12/06/2021,164.23
5000974551,10/07/2021,157.5
5000974551,05/06/2021,83.56
5000974551,04/07/2021,87.5
5000974551,18/07/2021,30.6
5000974551,07/06/2021,220.67
5000974551,03/07/2021,94.33
5000971814,08/07/2021,169.61
5000971814,16/07/2021,206.98
5000971814,23/07/2021,72.55
5000971814,11/07/2021,171.74
5000971814,18/07/2021,74.81
5000971814,29/06/2021,125.91
5000971814,30/07/2021,83
5000971814,11/07/2021,39.46
5000971814,02/07/2021,185.54
5000971814,11/07/2021,78.87
5000971814,05/06/2021,116.32
5000971814,14/06/2021,104.53
5000971814,18/07/2021,186.78
5000971814,26/07/2021,120.3
5000971814,19/06/2021,76.5
5000971814,16/07/2021,183.37
5000971814,12/06/2021,69.56
5000971814,30/06/2021,205.49
5000971814,02/06/2021,180.68
5000971814,13/07/2021,65.64
5000971814,26/06/2021,26.82
5000971814,29/06/2021,87.59
5000971814,26/07/2021,171.95
5000971814,08/06/2021,162.01
5000971104,04/06/2021,172.85
5000971104,03/07/2021,88.29
5000971104,27/07/2021,181.53
5000971104,17/06/2021,176.65
5000971104,24/06/2021,29.19
5000971104,25/07/2021,33.33
5000971104,16/07/2021,62.02
5000971104,26/06/2021,201
5000971104,18/06/2021,38.43
5000971104,22/06/2021,32.1
5000971104,01/06/2021,149.99
5000966041,25/06/2021,100.42
5000966041,24/07/2021,181.36
5000966041,02/06/2021,72.37
5000966041,01/06/2021,40.43
5000966041,29/06/2021,153.21
5000966041,20/07/2021,122.56
5000966041,21/07/2021,164.4
5000966041,09/06/2021,17.7
5000966041,21/06/2021,193.72
5000966041,14/07/2021,29.74
5000966041,16/06/2021,13.22
5000966041,04/06/2021,177.37
5000966041,24/07/2021,108.28
5000966041,03/06/2021,190.57
5000966041,24/06/2021,29.57
5000966041,24/07/2021,54.43
5000966041,01/07/2021,95.47
